 ,Mean1,Mean2,Mean3,Mean4
498,2916.979,4028.300,4001.262,3708.045
499,2912.854,4037.450,4007.381,3708.114
500,2909.083,4050.050,3987.786,3692.909
501,2903.062,4006.350,3989.595,3704.886
502,2913.354,4003.850,3994.738,3714.955
503,2892.271,4042.400,4010.905,3695.545
504,2891.375,4012.550,4000.024,3702.545
505,2914.375,3998.600,4019.548,3717.409
506,2905.979,4012.700,4005.214,3691.614
507,2870.917,4033.550,4009.024,3700.227
508,2892.750,4015.300,4017.333,3694.750
509,2889.521,4012.650,4037.595,3695.341
510,2889.875,3984.500,4017.952,3707.364
511,2894.458,4015.000,4000.762,3695.977
512,2893.521,4009.950,4007.167,3709.977
513,2866.354,4015.000,4012.714,3700.841
514,2880.771,4010.200,4002.310,3712.159
515,2884.521,4009.050,4002.619,3696.205
516,2881.104,4005.850,4019.619,3708.750
517,2873.917,3984.150,4011.952,3690.477
518,2880.875,3995.100,3990.786,3694.773
519,2870.229,4005.000,3999.881,3708.477
520,2885.271,3979.450,4006.214,3695.705
521,2871.625,4004.050,4018.500,3710.500
522,2870.979,3978.950,3999.810,3691.864
523,2859.833,3980.500,4009.572,3707.273
524,2865.500,3953.150,4004.810,3694.000
525,2862.375,3964.600,4004.786,3704.682
526,2852.708,4001.500,3998.810,3702.295
527,2853.667,3979.700,4005.143,3683.591
528,2852.812,3969.700,3998.452,3692.750
529,2850.396,3976.550,4003.833,3694.455
530,2863.167,3976.350,3994.548,3693.614
531,2860.771,3991.300,4020.143,3692.591
532,2830.604,3974.850,3969.738,3704.750
533,2855.938,3958.200,4013.428,3666.727
534,2850.625,3976.650,4010.952,3699.318
535,2863.083,3954.500,3995.167,3697.841
536,2839.542,3948.050,4020.833,3705.523
537,2862.104,3949.650,3993.238,3702.159
538,2839.188,3975.400,3970.167,3704.477
539,2846.333,3946.900,4006.810,3687.795
540,2843.250,3961.300,3992.167,3681.568
541,2843.979,3996.100,3999.881,3696.341
542,2857.146,3952.000,3999.572,3689.750
543,2858.083,3968.950,3987.405,3665.045
544,2833.646,3970.650,4020.810,3727.182
545,2834.292,3945.700,3994.333,3678.818
546,2847.646,3970.850,3989.833,3684.886
547,2841.521,3956.900,3972.524,3697.182
548,2835.146,3929.250,4017.952,3697.045
549,2835.292,3951.150,4007.857,3704.273
550,2835.396,3963.100,3990.262,3680.159
551,2827.958,3945.050,3989.810,3676.205
552,2825.583,3964.700,3986.095,3679.568
553,2842.271,3970.750,3991.738,3692.386
554,2832.542,3962.600,3997.500,3700.182
555,2841.396,3982.750,3997.214,3688.795
