 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11
191,6317.387,6053.750,6066.182,7192.542,5777.472,4708.958,4533.667,5035.577,5372.807,5598.143,4897.735
192,6330.677,6069.200,6143.818,7219.083,5768.750,4734.583,4504.810,5041.731,5383.936,5572.048,4873.882
193,6318.548,6076.500,6090.909,7216.250,5768.583,4744.042,4483.429,5014.846,5391.742,5572.857,4883.324
194,6305.613,6062.550,6053.545,7196.875,5765.944,4706.833,4510.000,5045.308,5355.871,5589.286,4866.471
195,6317.774,6070.050,6069.364,7232.292,5778.139,4673.917,4497.524,5042.808,5359.452,5591.381,4882.000
196,6341.387,6069.850,6114.091,7256.208,5765.111,4685.208,4482.143,5011.885,5414.161,5594.524,4866.971
197,6329.774,6074.000,6106.909,7205.542,5747.389,4700.542,4477.667,5074.769,5351.193,5641.524,4871.912
198,6324.807,6186.700,6069.273,7144.875,5786.861,4737.250,4494.952,5027.423,5346.355,5620.810,4848.853
199,6317.355,6066.900,6099.364,7216.542,5800.056,4696.792,4510.095,5046.731,5349.226,5613.762,4863.382
200,6339.871,6091.700,6121.091,7211.250,5764.556,4730.792,4453.857,5071.385,5373.548,5568.571,4856.147
201,6326.581,6115.750,6093.455,7197.792,5776.750,4725.000,4469.667,5040.923,5381.419,5611.619,4854.765
202,6319.903,6127.950,6073.273,7222.292,5785.500,4688.250,4477.905,5051.731,5368.968,5627.810,4843.324
203,6313.581,6083.300,6086.545,7195.833,5789.306,4703.250,4486.095,5032.808,5392.839,5622.381,4858.588
204,6331.516,6078.050,6070.182,7187.875,5754.056,4705.833,4491.857,5023.539,5369.807,5594.429,4828.176
205,6298.355,6120.750,6103.545,7193.208,5796.556,4695.917,4474.429,5022.423,5380.839,5629.571,4842.235
206,6318.645,6124.750,6091.364,7220.375,5763.667,4683.917,4471.238,5069.346,5354.871,5576.952,4824.971
207,6307.355,6149.050,6119.818,7250.542,5776.083,4659.167,4448.476,5036.577,5356.709,5607.333,4814.971
208,6305.807,6126.700,6085.000,7242.917,5792.111,4692.208,4441.905,5018.808,5371.903,5645.143,4851.000
209,6284.645,6118.100,6097.636,7255.292,5768.333,4672.792,4484.714,5032.769,5377.291,5574.190,4819.471
210,6304.968,6139.350,6140.818,7173.167,5771.111,4668.917,4482.667,5007.039,5369.452,5585.762,4828.029
211,6283.452,6133.650,6125.091,7213.208,5770.472,4680.125,4453.762,5041.539,5348.936,5616.952,4844.088
212,6307.968,6165.400,6102.636,7198.542,5782.861,4653.208,4498.238,5030.615,5346.000,5592.667,4808.794
213,6331.291,6167.700,6111.909,7169.583,5801.528,4694.625,4464.952,5012.231,5340.839,5587.238,4816.647
214,6334.129,6117.700,6128.273,7222.750,5775.528,4640.542,4452.381,5013.692,5352.516,5595.524,4817.000
215,6293.774,6136.400,6046.364,7252.542,5783.250,4624.417,4467.762,5035.346,5345.258,5579.619,4837.794
216,6291.452,6159.950,6080.091,7188.333,5827.639,4673.750,4491.000,5014.115,5392.807,5586.048,4809.735
217,6290.581,6156.350,6111.727,7220.250,5802.278,4624.667,4455.095,5046.808,5351.064,5551.857,4824.500
218,6266.871,6195.050,6035.182,7228.083,5782.361,4633.625,4476.000,5062.923,5362.613,5586.952,4813.206
219,6363.258,6160.400,6117.636,7171.250,5791.417,4634.333,4460.857,5046.539,5358.419,5579.429,4795.382
220,6304.548,6200.050,6132.364,7207.625,5787.250,4635.750,4475.048,5017.885,5323.193,5612.429,4787.912
221,6275.323,6166.300,6085.545,7241.042,5778.917,4657.292,4464.857,5014.654,5347.516,5589.048,4806.059
222,6262.742,6171.650,6121.636,7163.542,5797.250,4642.583,4485.714,5035.923,5365.193,5556.762,4766.471
223,6284.323,6175.950,6111.636,7175.708,5800.694,4625.083,4497.810,5053.731,5329.064,5575.571,4796.765
224,6296.452,6161.650,6055.545,7190.458,5794.000,4628.000,4518.619,5053.385,5383.323,5591.381,4798.265
225,6299.097,6175.100,6052.545,7216.583,5789.694,4636.917,4476.619,5020.654,5367.548,5585.095,4794.559
226,6272.742,6251.450,6073.182,7259.625,5785.222,4650.333,4464.190,5026.231,5379.000,5550.571,4768.735
227,6273.258,6160.750,6127.182,7217.500,5793.667,4610.167,4511.381,5023.461,5363.387,5600.333,4779.500
228,6305.709,6195.000,6094.364,7217.625,5789.528,4616.792,4486.381,5032.539,5376.516,5593.714,4769.824
229,6272.097,6170.950,6075.455,7192.542,5840.944,4625.625,4491.857,5021.961,5367.097,5581.619,4767.735
230,6270.000,6228.000,6138.091,7170.375,5805.972,4619.417,4464.190,5014.000,5337.936,5582.476,4765.206
231,6246.742,6158.600,6101.727,7170.708,5828.917,4610.833,4474.905,5030.846,5375.193,5533.238,4747.353
232,6288.613,6160.350,6130.273,7256.458,5790.000,4626.250,4449.714,5010.808,5335.936,5555.000,4756.647
233,6261.323,6150.700,6038.364,7175.583,5810.028,4610.083,4471.429,5001.808,5383.613,5556.810,4760.176
234,6270.387,6171.850,6140.909,7199.958,5772.861,4633.042,4487.190,5001.923,5333.258,5536.619,4760.882
235,6266.903,6216.550,6077.636,7190.292,5816.167,4575.000,4443.476,4990.769,5337.064,5575.667,4754.059
236,6242.097,6189.350,6121.636,7184.167,5787.028,4578.750,4452.905,5016.885,5357.323,5540.048,4760.412
237,6278.064,6199.000,6083.636,7167.708,5781.167,4590.583,4449.714,5045.961,5360.291,5554.286,4759.147
238,6251.193,6198.850,6073.455,7202.250,5769.083,4587.333,4486.429,4993.808,5356.323,5554.952,4759.441
239,6273.903,6169.350,6077.545,7197.542,5796.333,4585.667,4457.048,5047.500,5354.064,5589.762,4729.088
240,6289.064,6205.350,6047.545,7189.208,5811.028,4568.000,4479.571,5018.192,5344.839,5575.429,4756.824
