 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10
201,6536.727,4879.731,5956.559,6302.731,5131.100,5480.839,8039.964,5436.750,5271.862,5880.531
202,6513.295,4851.173,5985.706,6283.808,5069.650,5499.323,8065.679,5384.350,5264.689,5872.594
203,6467.477,4877.211,5968.176,6223.500,5076.400,5466.452,8054.000,5387.000,5252.104,5848.031
204,6530.591,4875.058,5940.471,6199.000,5118.450,5474.903,8068.607,5411.250,5218.241,5844.531
205,6486.000,4857.346,5920.059,6205.769,5075.200,5468.226,8028.500,5392.850,5220.207,5835.781
206,6488.500,4844.308,5893.588,6198.923,5086.300,5419.032,8067.500,5392.000,5230.965,5814.438
207,6460.455,4847.789,5835.588,6145.000,5073.900,5406.645,8061.036,5409.650,5215.655,5817.969
208,6464.955,4849.750,5826.000,6166.077,5083.150,5423.903,8054.286,5334.850,5190.052,5816.031
209,6438.250,4839.635,5810.206,6178.346,5091.300,5399.452,8028.321,5379.050,5192.431,5807.938
210,6431.523,4832.981,5772.382,6152.461,5077.500,5390.645,8008.393,5393.950,5199.448,5793.719
211,6430.432,4854.308,5767.794,6131.077,5126.450,5357.968,8010.714,5344.000,5161.983,5779.594
212,6399.477,4829.000,5717.029,6096.154,5071.400,5349.291,8036.250,5341.700,5163.896,5758.250
213,6409.023,4810.827,5729.353,6082.385,5069.800,5335.677,8014.036,5328.250,5152.035,5794.469
214,6438.682,4828.827,5728.118,6074.346,5077.250,5347.323,8002.714,5374.800,5144.241,5748.031
215,6397.773,4815.635,5724.059,6040.500,5066.550,5360.161,7985.321,5375.350,5135.638,5767.875
216,6369.568,4810.346,5684.088,6050.500,5020.400,5332.645,7959.536,5392.100,5141.189,5752.156
217,6356.455,4796.039,5650.059,6022.539,5065.250,5332.742,7962.393,5386.650,5137.035,5711.656
218,6367.045,4822.577,5635.971,5960.846,5050.650,5339.516,7969.107,5359.450,5118.396,5692.188
219,6309.727,4804.942,5601.176,6013.808,5010.600,5328.709,7923.821,5341.750,5101.707,5718.719
220,6325.068,4782.596,5580.824,6003.039,5001.150,5294.452,7962.714,5350.250,5120.776,5699.938
221,6318.159,4790.885,5518.559,5937.923,5004.900,5282.645,7902.536,5351.550,5076.104,5677.031
222,6306.682,4789.423,5524.676,5935.269,5028.250,5265.097,7887.179,5366.400,5097.552,5664.938
223,6297.977,4762.635,5501.618,5899.539,5005.400,5263.032,7900.786,5386.100,5083.396,5646.812
224,6277.659,4752.500,5486.500,5884.385,5007.950,5220.774,7902.964,5324.350,5051.035,5649.438
225,6297.091,4766.039,5424.971,5841.039,5006.800,5206.936,7869.929,5344.350,5058.448,5652.594
226,6272.614,4742.231,5412.647,5819.500,5014.050,5186.129,7813.286,5321.350,5063.621,5643.281
227,6265.091,4747.289,5355.794,5821.423,4999.150,5203.548,7814.000,5291.800,5050.604,5609.844
228,6252.045,4743.250,5323.088,5801.077,4998.950,5197.000,7835.679,5317.150,5050.035,5602.812
229,6262.136,4728.577,5317.500,5769.269,4972.000,5191.452,7787.000,5293.550,5034.776,5567.469
230,6233.409,4727.904,5291.000,5762.077,4983.350,5133.709,7751.893,5284.300,5006.155,5577.875
231,6223.773,4716.211,5275.441,5753.385,4909.050,5162.871,7759.214,5325.950,5012.586,5562.844
232,6182.409,4706.077,5213.029,5747.654,4942.750,5139.452,7792.214,5316.500,5021.586,5541.344
233,6174.977,4703.404,5193.559,5704.961,4952.000,5138.161,7717.821,5294.600,4995.965,5531.875
234,6180.159,4719.846,5147.559,5660.461,4949.600,5108.193,7750.714,5275.450,5030.172,5557.406
235,6165.818,4710.961,5132.441,5668.539,4966.100,5114.226,7719.893,5244.450,4995.311,5520.906
236,6152.250,4701.539,5104.382,5703.577,4940.950,5102.742,7713.429,5230.900,4988.052,5509.906
237,6179.500,4699.289,5067.235,5656.769,4936.200,5080.161,7653.679,5268.550,4982.189,5499.406
238,6164.182,4680.000,5050.147,5649.192,4910.350,5072.258,7600.536,5261.150,4971.793,5506.938
239,6138.773,4671.711,5019.265,5632.808,4952.450,5076.129,7628.536,5260.050,4978.811,5463.688
240,6146.523,4670.154,4954.118,5628.423,4915.950,5029.516,7541.464,5247.650,4965.396,5433.500
241,6125.955,4647.096,4942.735,5592.654,4930.150,5021.936,7621.607,5267.650,4968.604,5465.531
242,6115.318,4666.789,4900.912,5566.846,4908.750,5011.581,7608.750,5254.200,4969.465,5463.688
243,6097.477,4649.346,4877.088,5599.577,4883.050,5050.742,7561.786,5275.800,4944.414,5422.594
244,6124.818,4647.327,4880.176,5579.154,4887.600,4988.000,7563.821,5218.950,4942.862,5406.062
245,6099.182,4653.846,4840.618,5530.423,4885.500,4969.419,7548.679,5252.100,4910.638,5424.875
246,6086.568,4623.827,4837.147,5558.269,4885.600,4973.677,7524.857,5205.800,4922.104,5403.531
247,6086.955,4633.673,4748.353,5545.731,4859.900,4974.129,7510.000,5181.400,4917.862,5396.562
248,6070.273,4623.308,4747.735,5533.615,4911.450,4963.484,7488.464,5206.000,4902.138,5405.594
249,6073.500,4628.558,4727.647,5529.846,4891.100,4961.709,7492.107,5210.450,4905.604,5361.250
250,6056.273,4649.096,4702.618,5510.000,4850.350,4954.258,7444.286,5161.150,4919.000,5366.688
251,6075.614,4613.385,4674.471,5510.731,4872.200,4915.129,7460.929,5177.200,4892.465,5336.094
252,6055.023,4597.539,4635.353,5541.731,4845.500,4925.226,7402.036,5209.800,4892.759,5381.188
253,6058.568,4615.635,4619.500,5528.577,4863.800,4913.032,7411.821,5226.350,4888.724,5368.281
254,6029.182,4599.789,4587.353,5432.461,4851.850,4893.355,7372.679,5196.700,4877.724,5318.062
255,6039.773,4578.596,4555.206,5446.192,4846.600,4903.064,7377.179,5243.800,4871.896,5348.531
256,6012.614,4583.885,4562.559,5447.692,4839.500,4908.355,7368.964,5173.300,4882.035,5311.875
257,6010.409,4562.539,4488.794,5421.423,4864.400,4879.258,7341.464,5159.900,4856.741,5318.062
258,5972.091,4584.365,4498.647,5382.769,4827.200,4871.000,7318.429,5205.750,4846.535,5338.406
259,6014.455,4556.885,4485.618,5405.385,4843.100,4840.516,7297.679,5189.050,4852.328,5300.688
260,5983.455,4554.442,4483.853,5446.269,4865.650,4851.645,7277.071,5206.350,4858.052,5287.750
261,5987.250,4549.289,4432.441,5412.961,4799.100,4835.516,7265.357,5198.550,4821.828,5284.812
262,5941.295,4546.635,4406.235,5425.692,4839.100,4813.064,7259.857,5145.450,4841.345,5297.250
263,5965.227,4522.942,4404.618,5409.615,4788.450,4819.226,7227.214,5137.050,4849.586,5266.156
264,5983.523,4556.750,4406.441,5374.500,4806.300,4817.000,7223.143,5200.450,4858.914,5275.562
