 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10
132,6303.139,5537.355,4789.729,6663.622,4526.524,4152.000,4585.742,4887.885,4561.875,4844.231
133,6337.056,5529.032,4845.086,6675.216,4565.048,4196.125,4551.581,4914.923,4552.906,4797.346
134,6332.194,5572.709,4916.000,6692.567,4572.286,4159.250,4546.516,5006.923,4520.125,4817.846
135,6351.556,5570.677,4984.843,6717.676,4588.333,4199.500,4575.742,5087.461,4551.594,4795.423
136,6383.556,5572.097,5030.686,6732.567,4572.810,4247.312,4611.097,5192.961,4591.344,4891.308
137,6385.500,5559.032,5062.071,6754.676,4646.095,4289.438,4574.000,5228.308,4567.469,4860.500
138,6380.083,5570.064,5128.586,6719.784,4664.143,4331.625,4591.807,5311.923,4583.938,4846.539
139,6411.333,5578.064,5156.171,6753.135,4667.571,4383.000,4609.064,5451.577,4579.844,4864.423
140,6405.278,5595.097,5168.157,6791.946,4730.381,4411.188,4669.709,5514.500,4618.250,4850.269
141,6408.389,5580.807,5214.071,6768.027,4744.143,4542.938,4644.839,5623.423,4608.406,4852.731
142,6430.806,5581.839,5281.414,6738.729,4819.190,4633.188,4660.581,5680.192,4607.719,4841.000
143,6435.694,5593.484,5298.557,6746.729,4902.190,4738.562,4670.774,5802.077,4605.188,4876.846
144,6416.222,5606.709,5332.114,6751.243,4970.714,4836.750,4689.355,5887.731,4621.938,4880.808
145,6446.444,5589.129,5319.414,6738.054,4969.286,4928.875,4715.000,6003.846,4613.062,4870.885
146,6405.611,5608.452,5343.057,6786.622,5065.524,5014.438,4720.516,6078.039,4621.625,4863.231
147,6414.333,5626.613,5392.986,6739.378,5078.714,5054.000,4741.355,6181.000,4617.250,4877.115
148,6454.444,5613.161,5389.457,6740.865,5093.190,5114.188,4829.903,6264.346,4663.219,4885.923
149,6444.306,5626.516,5430.943,6775.108,5135.048,5263.500,4880.839,6343.923,4625.750,4871.615
150,6449.722,5632.645,5415.271,6723.729,5195.571,5284.312,4930.839,6366.077,4636.812,4873.961
151,6453.361,5609.709,5440.043,6705.324,5278.905,5414.500,5007.097,6496.846,4662.625,4893.577
152,6462.528,5632.097,5474.372,6755.595,5377.619,5466.875,5060.581,6588.615,4657.375,4872.769
153,6467.722,5611.709,5462.557,6744.838,5370.714,5586.312,5155.323,6595.615,4673.844,4865.961
154,6437.667,5587.355,5463.186,6732.433,5417.048,5643.688,5253.936,6664.577,4666.000,4875.885
155,6436.306,5608.516,5470.243,6763.946,5409.524,5689.688,5373.161,6758.461,4676.156,4881.346
