 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12
135,5984.222,7040.077,6311.977,6544.167,5265.765,4098.500,5545.000,5848.383,5489.654,4406.333,5039.182,5308.583
136,6084.056,7014.846,6288.682,6572.417,5287.676,4100.375,5611.833,5914.633,5530.327,4428.048,5090.636,5465.833
137,6135.306,7014.615,6339.727,6542.583,5402.382,4095.000,5691.167,6025.317,5558.635,4432.524,5072.455,5551.167
138,6160.278,7053.269,6333.682,6538.250,5396.088,4108.875,5665.167,6063.433,5597.942,4404.048,5028.182,5697.417
139,6210.278,7077.769,6283.545,6607.083,5455.941,4102.500,5745.333,6160.233,5608.827,4414.429,5104.545,5802.750
140,6268.056,7086.654,6243.295,6621.833,5491.265,4081.750,5860.333,6242.167,5666.154,4400.048,5036.818,6023.417
141,6284.667,7088.154,6327.364,6611.917,5548.088,4103.750,5878.667,6329.550,5726.808,4429.667,5050.909,6172.500
142,6313.278,7026.615,6314.455,6586.333,5583.588,4122.125,5908.500,6418.050,5741.615,4428.286,5059.545,6298.500
143,6364.694,7010.000,6305.136,6620.667,5591.853,4121.375,5978.000,6461.533,5770.615,4395.952,5078.909,6523.000
144,6398.583,7009.808,6262.955,6642.333,5664.176,4143.875,6014.500,6566.333,5826.577,4427.857,5058.364,6651.083
145,6400.889,7043.000,6262.568,6635.000,5696.206,4090.375,6083.667,6603.517,5860.769,4436.143,5111.091,6788.167
146,6447.500,7045.731,6201.705,6587.500,5731.765,4087.875,6282.167,6655.350,5869.173,4421.095,5083.091,6892.250
147,6504.028,7044.846,6294.318,6609.750,5745.235,4138.625,6253.333,6726.933,5915.539,4377.952,5034.909,7062.167
148,6529.083,7064.461,6268.727,6629.750,5782.735,4096.500,6416.500,6784.850,5922.346,4424.095,5101.545,7240.750
149,6569.778,7036.039,6231.477,6641.333,5799.235,4121.500,6490.833,6834.800,5902.711,4444.667,5090.000,7317.917
150,6570.722,7072.308,6242.614,6630.000,5798.206,4068.375,6515.500,6860.217,5963.961,4442.143,5037.182,7418.083
151,6610.972,7031.192,6243.886,6617.083,5837.941,4130.250,6561.333,6922.517,5960.789,4442.762,5093.909,7509.000
152,6673.806,7062.000,6246.068,6639.000,5871.618,4118.500,6620.500,6960.700,6005.731,4433.905,5081.091,7634.500
153,6729.028,7054.077,6219.773,6614.000,5851.765,4099.625,6720.500,6989.867,5978.615,4445.048,5125.000,7762.583
