 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10
152,6524.805,5120.731,6582.324,6765.778,5814.295,5159.807,6820.393,5547.646,4876.745,5229.190
153,6521.335,5156.769,6591.297,6754.556,5835.500,5155.419,6822.321,5545.250,4893.941,5242.214
154,6525.288,5097.539,6585.784,6734.500,5810.091,5190.709,6819.821,5539.312,4884.157,5218.381
155,6497.165,5112.077,6545.324,6776.000,5805.341,5177.709,6832.071,5541.521,4893.196,5208.429
156,6520.585,5142.692,6552.784,6747.056,5804.295,5232.709,6860.000,5567.167,4911.784,5230.524
157,6506.225,5129.192,6589.514,6774.847,5823.000,5149.355,6836.643,5548.833,4901.314,5242.929
158,6508.767,5147.808,6575.000,6756.861,5831.795,5213.291,6844.536,5549.625,4925.118,5210.714
159,6516.966,5131.731,6562.729,6749.167,5834.409,5188.291,6801.893,5536.333,4945.098,5220.762
160,6506.826,5106.769,6561.352,6762.139,5828.500,5166.871,6800.643,5555.688,4961.608,5237.857
161,6498.530,5142.346,6569.243,6751.528,5816.045,5162.484,6836.250,5572.708,4944.294,5222.524
162,6507.318,5141.423,6563.405,6746.250,5825.636,5194.161,6844.964,5546.312,4954.314,5224.833
163,6502.589,5107.923,6538.838,6769.583,5817.455,5163.774,6828.607,5571.958,4949.294,5200.667
164,6491.813,5153.961,6557.784,6747.903,5805.523,5171.936,6804.607,5584.958,4971.431,5224.762
165,6495.873,5109.192,6533.892,6734.389,5790.091,5176.355,6849.643,5573.333,4966.235,5229.690
166,6502.610,5098.846,6571.297,6746.694,5815.909,5171.548,6828.821,5588.042,4981.765,5222.357
167,6491.792,5114.731,6550.459,6754.764,5812.045,5223.032,6819.321,5570.583,4991.079,5208.310
168,6492.970,5136.308,6563.081,6732.944,5786.727,5194.419,6801.857,5568.208,4960.882,5215.119
169,6489.110,5122.154,6573.973,6756.375,5821.455,5202.291,6821.071,5562.625,4993.039,5195.286
170,6488.123,5114.961,6589.486,6743.486,5810.182,5185.064,6766.393,5550.771,4980.863,5210.381
171,6499.593,5122.615,6565.648,6731.083,5811.795,5189.000,6780.679,5564.979,5003.431,5237.143
172,6487.369,5126.385,6569.973,6733.097,5806.250,5192.807,6802.714,5572.812,5012.098,5223.071
173,6494.551,5125.539,6594.297,6745.125,5840.205,5174.419,6771.036,5558.667,4999.941,5228.214
174,6472.000,5110.000,6597.595,6725.153,5833.182,5173.742,6786.821,5573.667,4981.961,5203.881
175,6476.191,5112.346,6550.622,6715.500,5823.955,5160.581,6826.571,5583.521,4977.549,5212.476
176,6491.881,5122.769,6549.757,6725.500,5789.386,5169.355,6790.821,5567.438,5022.392,5217.310
177,6474.958,5110.615,6540.514,6722.111,5810.295,5162.709,6760.607,5579.125,5011.961,5232.929
178,6492.725,5093.154,6535.081,6726.250,5815.227,5182.000,6832.143,5556.083,5031.490,5223.024
