 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13
103,2769.782,3137.783,3385.600,4095.510,3626.577,3941.371,4079.095,4308.733,4000.375,3992.177,4109.033,4531.054,4345.768
104,2776.960,3135.449,3383.567,4092.177,3609.058,3960.686,4064.643,4313.014,4004.575,3975.208,4125.869,4519.125,4334.449
105,2769.113,3127.739,3385.017,4077.961,3613.664,3949.057,4059.060,4313.432,4001.788,3975.375,4107.951,4528.812,4323.522
106,2771.516,3134.623,3377.967,4068.706,3612.106,3938.814,4068.178,4312.082,3984.750,3973.042,4093.590,4538.866,4341.102
107,2770.137,3123.667,3386.850,4082.059,3602.558,3944.871,4071.262,4323.151,3995.137,3974.062,4119.000,4532.250,4342.507
108,2964.355,3093.754,3365.817,4095.569,3600.385,3940.157,4071.726,4306.884,3979.363,3974.146,4077.869,4522.411,4323.942
109,3661.952,3158.768,3380.917,4105.451,3641.836,3940.943,4064.369,4307.514,4004.438,3978.698,4092.492,4521.956,4338.449
110,4132.524,3321.333,3391.500,4101.098,3675.317,3960.914,4067.786,4333.329,3995.462,3983.104,4103.590,4538.991,4338.203
111,4390.411,3619.797,3404.267,4101.961,3699.356,3993.100,4061.072,4365.692,3997.425,3983.740,4119.606,4576.884,4342.783
112,4553.298,4054.362,3425.917,4108.745,3740.500,4038.357,4071.119,4419.027,4006.875,4007.531,4133.279,4637.581,4364.087
113,4599.807,4508.913,3424.517,4102.647,3813.798,4089.629,4065.643,4446.123,4016.325,4011.417,4147.787,4679.991,4357.145
114,4669.202,4957.884,3456.700,4085.000,3920.067,4187.357,4066.286,4448.699,4051.262,4013.875,4141.476,4737.973,4359.188
115,4697.153,5338.290,3513.617,4134.000,4110.606,4322.686,4076.345,4508.500,4065.275,4034.042,4170.656,4806.268,4353.029
116,4709.984,5681.043,3712.600,4112.098,4402.394,4476.186,4085.238,4566.870,4075.625,4050.271,4192.672,4859.554,4373.290
117,4737.218,5917.870,3987.950,4143.627,4784.240,4686.029,4075.369,4681.651,4108.538,4049.469,4217.476,4909.544,4387.247
118,4760.064,6107.478,4268.183,4152.569,5162.086,4869.943,4080.798,4806.932,4108.462,4049.667,4257.459,4979.062,4386.609
119,4749.129,6231.536,4530.317,4150.294,5500.769,4976.343,4074.012,4845.247,4157.638,4041.365,4293.295,5021.357,4391.565
120,4743.331,6313.232,4744.683,4177.882,5821.433,5077.700,4095.012,4920.294,4152.362,4046.052,4354.606,5077.581,4403.855
121,4761.709,6354.188,4903.767,4224.118,6066.664,5129.329,4059.643,4982.651,4173.087,4052.521,4394.180,5103.411,4401.884
122,4736.516,6408.710,5037.983,4228.490,6233.221,5173.329,4097.310,5007.315,4196.013,4052.135,4443.524,5153.071,4427.029
123,4741.524,6430.812,5172.883,4313.627,6381.173,5195.729,4085.107,5071.891,4230.837,4058.062,4473.312,5180.518,4403.275
124,4748.629,6421.159,5227.983,4323.137,6440.990,5208.128,4107.929,5107.726,4239.737,4045.240,4477.508,5220.759,4419.188
