 ,Mean1,Mean2,Mean3,Mean4,Mean5
428,3732.500,3748.000,4133.875,3088.250,3418.300
429,3791.000,3772.000,4149.375,3068.250,3383.600
430,3718.000,3740.938,4148.000,3107.750,3350.900
431,3765.750,3752.500,4154.250,3083.000,3406.400
432,3726.625,3769.812,4114.250,3064.250,3364.100
433,3773.750,3782.375,4110.000,3048.500,3414.200
434,3764.500,3811.375,4200.125,3067.250,3411.500
435,3681.500,3808.938,4133.375,3142.500,3396.200
436,3762.250,3802.938,4152.875,3124.000,3353.500
437,3752.500,3762.500,4116.125,3065.250,3406.800
438,3719.250,3754.062,4133.000,3014.750,3405.900
439,3819.375,3813.438,4172.250,3102.500,3390.600
440,3765.375,3777.688,4058.250,3040.750,3396.400
441,3776.500,3822.312,4084.875,3127.250,3343.500
442,3714.500,3758.188,4142.625,3043.750,3352.800
443,3751.125,3816.062,4135.125,3074.250,3368.900
444,3724.375,3772.875,4146.500,3082.750,3394.900
445,3804.250,3748.125,4097.875,3089.500,3362.100
446,3727.875,3746.000,4085.250,3061.500,3374.800
447,3741.125,3804.188,4157.500,3095.250,3398.600
448,3779.000,3775.375,4120.625,3058.500,3401.100
449,3723.250,3728.000,4156.000,3089.000,3351.400
450,3697.000,3770.312,4099.250,3052.250,3363.900
451,3742.000,3729.625,4143.625,3048.750,3383.700
452,3796.750,3749.812,4143.500,3056.750,3373.700
453,3750.125,3738.938,4146.125,3118.250,3352.300
454,3755.125,3748.750,4142.125,3042.000,3355.300
455,3760.500,3738.312,4135.000,3110.500,3382.500
456,3809.625,3700.938,4121.000,3096.750,3361.600
457,3762.000,3719.750,4128.875,3098.750,3389.900
458,3786.000,3731.812,4105.125,3083.250,3362.300
459,3740.875,3745.375,4127.375,3088.500,3398.200
460,3724.625,3718.438,4158.375,3125.250,3415.900
461,3797.875,3677.312,4108.500,3114.250,3436.400
462,3796.000,3708.875,4172.625,3081.250,3370.300
463,3747.750,3730.062,4117.625,3085.250,3391.000
464,3740.250,3710.688,4105.625,3023.250,3380.200
465,3760.750,3778.938,4093.375,3000.500,3386.400
466,3737.375,3752.875,4126.750,3103.750,3372.300
467,3786.250,3775.375,4077.375,3021.750,3333.900
468,3762.625,3797.688,4166.375,3012.000,3401.500
469,3749.875,3790.500,4130.875,3028.250,3429.300
470,3738.375,3769.812,4097.125,3095.000,3377.100
471,3691.125,3786.750,4144.625,3065.250,3343.400
472,3748.000,3796.312,4182.125,3082.500,3389.700
473,3756.625,3773.438,4135.250,3093.250,3375.000
474,3840.125,3749.812,4151.250,3055.250,3401.100
475,3736.125,3782.625,4154.625,3150.000,3383.500
476,3772.125,3764.312,4168.375,3118.250,3372.100
477,3753.875,3726.625,4123.250,3058.500,3434.700
478,3805.625,3797.062,4143.875,3046.500,3371.200
479,3743.250,3768.188,4126.500,3081.000,3357.400
480,3720.625,3751.938,4116.375,3071.500,3362.100
481,3747.500,3770.562,4120.000,3090.000,3364.800
482,3789.750,3741.625,4153.750,3087.250,3412.900
483,3746.125,3719.812,4133.875,3099.750,3369.300
484,3772.750,3730.438,4134.625,3126.250,3339.000
