 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16
80,4449.635,4371.667,4505.219,4361.833,3789.692,3897.375,3182.412,3020.000,4328.676,4582.355,4562.077,4811.853,2991.833,3363.091,4259.618,3996.619
81,4450.115,4366.083,4500.844,4350.917,3807.654,3907.000,3165.794,3099.000,4325.000,4595.258,4504.692,4830.131,2985.190,3379.182,4253.529,3996.905
82,4476.308,4367.458,4476.781,4365.083,3777.385,3916.688,3171.941,3057.667,4335.676,4626.903,4538.461,4825.967,2980.857,3378.500,4261.412,4006.048
83,4454.385,4353.167,4496.719,4344.250,3741.308,3864.938,3167.471,3046.000,4329.378,4604.709,4550.461,4816.082,2974.405,3365.545,4277.000,3995.619
84,4448.096,4391.250,4460.906,4343.417,3794.500,3895.125,3178.735,3058.000,4310.459,4613.613,4507.154,4829.836,2984.524,3360.545,4280.235,4011.952
85,4452.942,4373.333,4496.531,4375.083,3767.654,3884.188,3168.559,3068.667,4318.433,4621.355,4523.846,4823.558,2974.143,3375.636,4259.794,4010.238
86,4447.442,4362.583,4485.281,4311.000,3769.039,3887.375,3169.647,3113.000,4306.892,4603.548,4531.961,4841.983,2985.262,3373.136,4290.471,3979.524
87,4456.750,4365.083,4482.594,4342.167,3795.846,3912.625,3173.823,3102.000,4324.352,4619.097,4552.885,4853.312,2976.000,3379.386,4266.853,3978.524
88,4454.096,4364.625,4510.000,4406.500,3801.615,3901.875,3220.059,3203.000,4351.135,4652.226,4555.692,4870.492,3046.119,3413.341,4290.235,4006.095
89,4453.289,4362.458,4530.094,4422.917,3799.231,3923.750,3254.647,3109.000,4363.162,4703.516,4594.461,4879.410,3092.286,3424.659,4307.412,4030.572
90,4488.885,4344.417,4506.094,4412.417,3827.692,3994.688,3329.412,3049.333,4353.541,4763.581,4558.192,4917.328,3134.262,3454.659,4339.353,4050.952
91,4457.904,4404.208,4525.688,4384.083,3878.115,3984.250,3367.235,3103.333,4390.838,4826.484,4587.423,4895.246,3142.190,3464.977,4315.265,4078.000
92,4479.808,4372.000,4548.812,4360.333,3845.154,4018.625,3474.529,3178.667,4397.811,4839.355,4584.000,4941.574,3163.714,3506.182,4320.618,4117.238
93,4481.750,4377.167,4537.031,4472.000,3867.961,4013.875,3525.912,3108.667,4399.216,4863.548,4579.231,4950.508,3221.690,3527.068,4330.824,4093.619
94,4488.961,4405.333,4514.594,4451.500,3857.039,4044.438,3528.618,3147.333,4420.622,4867.419,4597.769,4922.787,3239.357,3523.432,4318.471,4090.190
95,4473.673,4369.042,4532.594,4382.667,3881.385,4066.625,3623.882,3135.333,4415.865,4807.871,4588.385,4914.229,3267.167,3541.318,4344.676,4177.810
96,4499.692,4367.833,4497.562,4403.750,3858.423,4103.250,3667.235,3188.667,4427.703,4803.839,4585.961,4923.705,3324.405,3520.477,4406.706,4154.571
97,4482.692,4405.667,4501.094,4462.083,3878.808,4107.000,3767.471,3138.667,4416.378,4796.452,4585.654,4918.147,3328.643,3546.523,4373.294,4174.143
98,4474.058,4394.042,4515.656,4437.583,3857.692,4107.938,3864.118,3183.667,4439.000,4831.097,4587.346,4904.672,3370.333,3542.136,4414.588,4152.429
99,4502.173,4396.417,4541.438,4498.167,3891.154,4132.438,4002.088,3068.000,4419.541,4789.323,4600.115,4930.590,3455.262,3579.045,4431.941,4197.857
100,4480.615,4421.583,4531.219,4491.333,3906.539,4108.000,4098.324,3120.667,4445.352,4799.387,4595.539,4928.098,3478.190,3582.705,4419.118,4225.381
101,4507.654,4422.875,4561.062,4529.500,3908.039,4162.312,4206.265,3155.667,4417.189,4788.484,4584.885,4914.328,3497.690,3593.023,4411.706,4233.571
102,4498.615,4412.500,4519.281,4528.167,3937.461,4139.875,4233.176,3142.333,4462.919,4774.000,4594.539,4917.033,3552.095,3610.477,4459.059,4264.714
103,4510.942,4366.417,4529.938,4544.333,3953.192,4160.875,4218.471,3164.000,4455.378,4784.000,4606.615,4916.853,3582.905,3600.773,4486.265,4317.095
104,4509.673,4424.083,4548.438,4627.250,3908.423,4162.500,4297.265,3207.667,4440.703,4782.129,4599.231,4937.541,3585.333,3597.886,4473.735,4276.857
105,4481.211,4368.125,4534.188,4541.667,3933.692,4241.312,4397.618,3118.000,4424.405,4747.387,4599.077,4971.721,3601.857,3607.477,4476.882,4315.810
106,4501.808,4409.167,4516.281,4535.750,3934.115,4130.875,4471.265,3166.000,4459.189,4755.161,4571.961,4946.885,3580.952,3578.205,4459.118,4295.190
107,4503.500,4413.708,4525.375,4489.083,3934.654,4146.188,4465.265,3188.333,4446.648,4762.807,4579.808,4971.836,3549.381,3615.750,4456.235,4306.524
108,4497.385,4366.583,4508.719,4548.917,3921.654,4144.500,4457.794,3239.333,4427.081,4770.161,4588.385,4961.033,3527.072,3600.568,4502.529,4329.524
109,4494.115,4400.375,4519.719,4615.583,3928.539,4153.438,4328.706,3178.000,4395.622,4741.677,4589.423,4926.574,3683.190,3589.636,4521.853,4301.810
110,4504.827,4393.917,4494.406,4690.333,3979.423,4297.125,4587.647,3209.333,4427.648,4732.387,4571.423,4949.492,4945.190,3654.705,4580.206,4365.714
111,4530.135,4414.167,4538.719,4770.333,4042.000,4460.875,5141.824,3213.333,4475.216,4788.871,4596.885,4992.656,5875.595,3807.705,4642.059,4408.857
112,4562.327,4408.500,4549.375,4860.083,4166.961,4661.875,5814.794,3272.000,4469.595,4801.516,4605.654,5013.967,6349.024,3936.841,4743.118,4458.238
113,4590.173,4424.792,4517.938,4961.583,4266.923,4868.625,6450.235,3415.333,4499.622,4838.677,4607.923,5045.229,6585.976,4088.909,4800.676,4504.190
114,4642.231,4410.667,4516.281,4959.583,4341.769,5076.438,6936.471,3582.000,4525.271,4860.742,4639.000,5084.082,6606.476,4334.023,4866.529,4523.333
