 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11
156,6156.200,7014.240,5309.883,6786.337,5893.705,6834.455,12728.417,11961.405,7729.500,7232.094,7318.973
157,6152.943,7034.733,5326.933,6793.300,5857.902,6794.182,12745.750,11935.838,7758.750,7173.844,7308.333
158,6157.714,6983.680,5300.233,6843.587,5863.606,6792.273,12780.833,11920.081,7769.562,7201.250,7300.067
159,6161.214,7042.293,5319.233,6856.300,5871.394,6880.636,12766.750,11923.054,7775.000,7205.094,7307.707
160,6188.986,7025.427,5324.000,6902.663,5858.902,6850.727,12854.833,11932.271,7685.000,7250.656,7293.027
161,6174.443,7023.160,5312.517,6943.075,5853.017,6891.455,12793.167,11943.703,7695.250,7217.781,7287.053
162,6170.128,7031.333,5313.250,6986.675,5847.147,6794.091,12741.750,11875.189,7707.500,7211.656,7278.440
163,6171.386,7026.586,5322.267,7006.300,5853.410,6841.364,12805.500,11858.567,7738.188,7208.156,7248.160
164,6181.386,7035.027,5338.000,7056.350,5884.508,6795.091,12759.583,11806.189,7732.938,7237.094,7266.573
165,6171.114,7033.840,5302.450,7088.538,5866.229,6804.364,12748.583,11839.243,7755.500,7194.656,7244.374
166,6171.843,7014.387,5305.567,7081.638,5884.820,6836.000,12754.833,11855.973,7679.812,7181.594,7245.293
167,6169.571,6999.414,5305.850,7132.050,5874.442,6787.364,12748.583,11821.216,7711.375,7137.625,7223.480
168,6167.029,7036.680,5320.367,7167.900,5884.442,6819.727,12881.500,11859.081,7713.312,7102.344,7223.453
169,6183.800,6995.027,5315.317,7180.913,5872.787,6835.818,12801.500,11895.027,7704.312,7144.875,7251.173
170,6167.571,7020.693,5296.467,7172.163,5879.082,6786.273,12783.250,11845.081,7707.250,7134.719,7201.200
171,6181.586,7016.547,5295.233,7204.500,5885.639,6737.727,12717.917,11856.216,7721.875,7120.469,7223.333
172,6192.257,7016.173,5306.350,7203.438,5883.328,6802.909,12671.333,11859.324,7700.188,7082.906,7190.894
173,6187.500,7024.787,5308.117,7236.138,5859.606,6736.182,12719.917,11859.216,7664.375,7078.625,7183.987
174,6200.214,6999.987,5295.500,7266.150,5884.623,6790.182,12719.833,11815.946,7638.938,7077.562,7161.640
175,6187.157,7004.813,5292.850,7249.000,5852.983,6767.727,12708.417,11797.838,7705.500,7087.688,7164.347
176,6196.414,7007.680,5288.483,7273.100,5864.754,6750.273,12693.417,11879.648,7678.625,7038.375,7156.840
177,6185.029,7015.667,5300.333,7285.275,5881.885,6778.636,12721.333,11854.757,7682.500,7089.750,7156.987
178,6172.943,7029.533,5285.083,7311.475,5865.361,6760.909,12678.500,11825.162,7710.375,7082.469,7154.894
179,6179.014,7018.106,5285.167,7306.225,5881.820,6740.364,12743.000,11735.676,7662.125,7041.062,7121.187
180,6182.500,7025.760,5289.083,7341.350,5877.426,6744.364,12686.000,11800.514,7661.062,7061.688,7127.280
181,6184.343,7010.440,5304.317,7334.013,5855.967,6798.636,12749.083,11794.271,7707.250,7068.656,7105.640
182,6176.671,7013.360,5276.150,7369.312,5877.754,6796.727,12635.417,11842.433,7644.375,6992.188,7076.813
183,6163.686,7027.973,5297.750,7383.700,5861.836,6702.273,12680.917,11860.541,7639.938,6968.031,7095.760
184,6178.257,6968.467,5290.517,7392.388,5855.312,6749.091,12606.917,11781.595,7696.625,6945.500,7080.173
185,6188.343,6986.693,5276.417,7409.875,5879.951,6726.636,12598.583,11754.135,7625.188,6984.438,7063.907
